location,house_square_feet,stories,bed_rooms,bathrooms,kitchen,dining_room,parking,land_size_perch,build_year,pool,furnished,property_type,price
Athurugiriya,3072,2,1,4,1.0,1,2,15.0,1982,no,no,Residential,78961141
Athurugiriya,3260,2,3,1,1.0,0,1,8.38,2009,no,no,Residential,90405769
Athurugiriya,3339,2,3,4,1.0,1,2,22.6,1995,no,yes,Residential,14002728
Athurugiriya,2361,1,4,4,1.0,0,0,5.42,1993,no,no,Residential,42954189
Athurugiriya,4114,3,2,2,1.0,1,2,3.87,2020,no,no,Residential,65896691
Athurugiriya,2575,1,1,4,1.0,1,1,16.26,1985,no,no,Residential,22547725
Athurugiriya,2962,2,1,1,1.0,0,0,5.71,2018,no,no,Commercial,37851093
Athurugiriya,1476,1,1,1,1.0,0,1,14.11,1985,yes,no,Residential,43471299
Athurugiriya,4412,3,1,2,1.0,0,2,23.94,1985,no,no,Residential,69356078
Athurugiriya,4048,1,3,3,1.0,0,0,18.37,1996,no,no,Residential,91030195
Athurugiriya,1912,3,4,1,1.0,0,0,16.58,1995,no,yes,Residential,73450618
Athurugiriya,2060,3,5,4,1.0,0,2,15.65,2001,no,no,Commercial,13646305
Athurugiriya,3309,1,2,1,1.0,1,0,6.95,1992,no,yes,Residential,34560057
Athurugiriya,2924,2,1,1,1.0,1,0,12.52,2016,no,no,Commercial,99085759
Athurugiriya,2333,3,4,1,1.0,1,0,10.54,2022,no,no,Residential,66563361
Athurugiriya,2205,1,5,3,1.0,1,1,23.97,2014,no,no,Residential,28584849
Athurugiriya,3163,3,4,4,1.0,0,1,8.33,2012,yes,yes,Residential,66435111
Athurugiriya,4021,2,3,2,1.0,1,0,13.37,2004,no,no,Commercial,22371166
Athurugiriya,4117,1,5,1,1.0,1,2,23.64,2019,no,no,Residential,15636009
Athurugiriya,2997,1,4,4,1.0,0,2,20.36,2021,yes,yes,Residential,80703379
Athurugiriya,4335,1,3,4,1.0,1,1,24.22,2019,no,no,Residential,57343779
Athurugiriya,3470,2,4,2,1.0,0,2,16.38,2007,no,yes,Residential,67986281
Athurugiriya,1760,3,4,1,1.0,0,0,10.34,1995,no,yes,Residential,94837257
Athurugiriya,5454,1,5,3,1.0,0,2,21.19,1976,no,yes,Commercial,47073597
Athurugiriya,842,3,3,4,1.0,1,1,9.41,1987,no,no,Residential,12530882
Athurugiriya,3190,3,1,2,1.0,0,1,6.63,1976,yes,no,Residential,64999828
Athurugiriya,1663,2,2,3,1.0,1,0,18.54,2017,no,yes,Residential,37863203
Athurugiriya,4924,1,5,4,1.0,1,1,17.06,2019,no,no,Residential,30764105
Athurugiriya,3195,3,3,1,1.0,1,1,22.34,2005,yes,no,Residential,92440966
Athurugiriya,1519,1,4,4,1.0,0,1,24.16,1984,no,no,Commercial,16122070
Athurugiriya,5942,1,3,3,1.0,0,2,21.86,1997,no,no,Residential,18699147
Awissawella,605,2,2,3,1.0,0,1,4.32,1996,no,no,Residential,54563110
Awissawella,1067,1,2,1,1.0,1,2,17.62,2021,no,no,Residential,14801484
Awissawella,4770,1,1,1,1.0,1,1,20.26,2003,no,no,Residential,10483386
Awissawella,603,3,1,2,1.0,0,1,24.6,2007,no,no,Residential,17245856
Awissawella,1245,2,2,1,1.0,1,2,11.24,2005,no,yes,Residential,59796527
Awissawella,717,1,5,2,1.0,0,2,6.74,1988,no,no,Residential,17509659
Awissawella,3528,3,5,3,1.0,0,0,21.76,1984,no,no,Residential,66564884
Awissawella,3151,2,4,3,1.0,1,0,9.98,1992,no,yes,Residential,42124959
Awissawella,5642,2,1,4,1.0,1,2,16.16,1985,no,no,Residential,91128217
Awissawella,4889,3,4,4,1.0,0,1,11.58,2013,no,no,Residential,78102205
Awissawella,1446,3,1,2,1.0,1,0,11.85,2021,yes,no,Residential,18998278
Awissawella,3362,3,2,1,1.0,0,2,19.11,1977,no,no,Residential,7694574
Awissawella,1741,3,5,1,1.0,0,2,10.95,1976,no,no,Residential,74636761
Awissawella,2410,3,5,4,1.0,1,1,18.25,1982,no,no,Residential,83806725
Awissawella,1323,1,2,3,1.0,0,2,3.32,2005,no,yes,Residential,14644767
Awissawella,824,1,4,2,1.0,1,0,10.14,1982,yes,yes,Residential,28647349
Awissawella,5227,2,4,3,1.0,0,1,10.02,2017,no,yes,Commercial,94235187
Awissawella,4808,1,3,3,1.0,1,2,19.47,2022,no,yes,Residential,84723220
Awissawella,5254,1,1,1,1.0,1,2,9.92,1976,no,no,Residential,10205778
Awissawella,2648,1,4,2,1.0,0,1,16.93,1996,no,no,Residential,31655728
Awissawella,5349,3,2,3,1.0,1,1,18.15,1979,no,no,Residential,73962670
Awissawella,5015,2,4,4,1.0,1,1,17.49,1981,no,no,Residential,18305963
Awissawella,2173,2,5,4,1.0,0,0,16.27,1994,no,no,Residential,70190576
Awissawella,2428,2,1,1,1.0,1,0,12.1,2002,no,no,Residential,20267294
Awissawella,2517,2,3,4,1.0,0,2,11.21,1987,no,no,Residential,26609413
Awissawella,4834,1,1,4,1.0,1,2,15.42,1976,no,yes,Residential,98706339
Awissawella,2626,1,5,3,1.0,0,1,4.4,2006,yes,yes,Residential,11828212
Awissawella,4344,3,5,4,1.0,0,2,22.27,2000,no,no,Residential,61002655
Awissawella,1501,2,5,4,1.0,0,2,21.16,1977,no,no,Residential,90549287
Awissawella,5385,1,5,3,1.0,0,1,10.62,2015,no,no,Residential,60834874
Awissawella,2639,1,2,1,1.0,1,0,15.47,2016,no,no,Residential,55255699
Awissawella,609,3,3,1,1.0,0,0,23.51,1987,yes,no,Residential,70816130
Awissawella,860,3,5,2,1.0,1,0,8.98,1995,no,yes,Residential,18501726
Awissawella,2273,3,5,4,1.0,0,2,19.33,2019,no,no,Residential,82831967
Awissawella,2819,1,4,3,1.0,1,1,4.82,2011,no,yes,Residential,47793270
Awissawella,2660,1,3,2,1.0,0,0,14.51,1997,no,no,Commercial,15688614
Awissawella,5887,3,1,1,1.0,1,2,22.45,1981,no,no,Residential,21859294
Awissawella,4313,2,3,1,1.0,1,1,15.14,1991,no,yes,Residential,45652482
Awissawella,2219,3,3,3,1.0,0,0,16.56,2002,no,no,Residential,48794809
Awissawella,920,3,3,2,1.0,0,0,22.97,2021,no,no,Residential,68582299
Awissawella,1942,3,5,2,1.0,0,1,18.74,2004,no,no,Residential,16069615
Awissawella,2976,3,5,3,1.0,1,2,18.31,1979,no,yes,Residential,63552295
Awissawella,3432,1,2,3,1.0,1,2,15.9,1998,no,no,Residential,68562465
Awissawella,3424,2,1,2,1.0,1,0,16.93,1981,no,yes,Residential,87577860
Awissawella,2594,3,4,1,1.0,1,1,20.68,2008,yes,no,Residential,64042890
Awissawella,3558,2,3,4,1.0,0,2,24.54,2016,no,no,Residential,75960967
Awissawella,2638,2,1,1,1.0,0,1,20.5,2007,no,yes,Residential,54798864
Awissawella,4090,2,1,3,1.0,0,1,18.57,2001,no,no,Residential,94833963
Awissawella,4277,3,2,2,1.0,0,0,5.98,1988,no,yes,Residential,74541809
Awissawella,1718,1,4,2,1.0,1,1,20.98,1993,no,no,Residential,41288614
Awissawella,2204,3,3,4,1.0,1,1,19.19,2022,no,yes,Residential,75350888
Awissawella,4627,2,4,2,1.0,0,1,19.95,2012,no,no,Residential,44844274
Awissawella,835,2,2,4,1.0,1,2,8.08,1986,no,yes,Residential,25831565
Awissawella,2569,1,5,1,1.0,0,0,22.88,1977,no,no,Residential,5752919
Awissawella,5029,3,1,1,1.0,1,0,5.14,1981,no,no,Residential,98169145
Awissawella,2508,2,3,2,1.0,1,1,8.58,2009,no,no,Residential,36055090
Awissawella,975,1,5,2,1.0,1,1,17.59,1999,no,no,Residential,48221937
Awissawella,4130,2,2,3,1.0,1,2,17.82,2023,no,no,Residential,5881742
Awissawella,5856,1,4,3,1.0,1,0,9.89,1989,no,no,Commercial,95016180
Awissawella,3235,1,1,2,1.0,1,2,18.43,1993,no,no,Residential,17426700
Awissawella,2170,3,3,2,1.0,0,0,11.53,1993,no,no,Residential,48003076
Awissawella,3160,2,5,1,1.0,1,2,3.0,1997,no,no,Residential,83654494
Awissawella,3991,3,5,2,1.0,0,1,6.58,1985,no,no,Residential,76051083
Awissawella,3565,2,1,3,1.0,0,2,22.42,1995,no,no,Residential,70122333
Awissawella,4243,3,4,1,1.0,0,1,7.9,2008,yes,no,Residential,34892233
Awissawella,4450,2,2,4,1.0,0,0,5.48,2013,no,yes,Residential,90290717
Awissawella,1472,3,4,3,1.0,0,0,18.01,1981,no,no,Residential,20862745
Awissawella,1852,1,4,3,1.0,0,1,12.7,2016,no,no,Residential,85229035
Awissawella,1914,2,4,1,1.0,1,0,20.53,2018,no,no,Residential,82267333
Awissawella,5420,2,1,4,1.0,1,2,21.95,2001,no,no,Residential,35072474
Awissawella,3498,1,1,3,1.0,1,1,21.61,1997,no,no,Residential,82232403
Awissawella,677,3,2,2,1.0,0,0,9.89,2012,no,yes,Residential,27750427
Awissawella,3221,2,4,3,1.0,0,2,14.12,1994,no,no,Residential,73177171
Awissawella,4827,2,1,1,1.0,0,2,17.3,2001,no,no,Residential,12733259
Awissawella,1200,3,2,1,1.0,1,0,10.08,1982,no,no,Residential,95252780
Awissawella,1665,1,2,1,1.0,1,0,3.9,2011,no,no,Residential,46117405
Awissawella,2736,3,4,3,1.0,1,2,13.9,1977,no,yes,Commercial,41167728
Awissawella,3049,3,3,4,1.0,0,1,3.28,1976,no,yes,Commercial,45887987
Awissawella,2943,3,4,2,1.0,0,0,23.91,1996,no,no,Residential,17607748
Awissawella,2463,2,3,1,1.0,0,0,20.53,1980,no,no,Residential,79064191
Awissawella,1918,1,2,4,1.0,1,1,7.22,2013,no,no,Residential,6192121
Awissawella,5311,1,1,2,1.0,0,1,9.33,2014,no,no,Residential,22574116
Awissawella,4197,3,5,1,1.0,0,0,24.62,2010,no,no,Residential,37606087
Awissawella,4362,2,2,2,1.0,0,1,11.22,2018,no,no,Residential,79055695
Awissawella,5742,3,1,2,1.0,0,2,20.24,1998,no,no,Residential,38499615
Awissawella,5270,2,2,4,1.0,1,2,12.83,1986,no,no,Residential,13142450
Awissawella,2790,2,4,2,1.0,1,2,22.01,1991,no,no,Residential,48741189
Awissawella,1592,2,3,1,1.0,0,0,18.48,1996,no,no,Residential,12601039
Awissawella,3312,2,2,4,1.0,0,1,3.5,1993,no,yes,Residential,83078892
Awissawella,2792,1,1,3,1.0,1,2,9.48,1983,no,no,Residential,60458805
Awissawella,1848,2,4,3,1.0,1,1,15.28,1986,yes,no,Residential,25201747
Awissawella,3654,2,5,4,1.0,0,2,23.38,2006,no,no,Residential,54326823
Awissawella,5198,3,4,3,1.0,1,1,5.24,2005,no,yes,Residential,70688378
Awissawella,4633,3,3,2,1.0,1,2,16.23,1991,no,yes,Residential,68670154
Awissawella,2597,1,4,1,1.0,0,2,9.65,1997,no,no,Residential,82412956
Awissawella,5516,3,5,2,1.0,1,2,22.57,1984,no,no,Residential,65362238
Awissawella,4287,2,1,4,1.0,1,2,19.83,2004,no,no,Residential,23678239
Awissawella,2751,3,2,1,1.0,1,2,11.13,1993,no,no,Residential,50240733
Awissawella,4618,1,3,4,1.0,1,2,6.68,2000,no,yes,Residential,80066890
Awissawella,3710,3,5,4,1.0,0,2,3.25,2000,no,no,Residential,50757848
Baththaramulla,2570,3,3,4,1.0,1,2,16.66,1985,no,no,Residential,24774513
Baththaramulla,797,1,4,2,1.0,1,2,11.93,1994,no,no,Commercial,56931912
Baththaramulla,3226,1,3,1,1.0,0,1,9.92,2019,no,no,Commercial,81105772
Baththaramulla,1802,2,5,1,1.0,1,1,24.68,1978,no,yes,Residential,7586396
Baththaramulla,2635,3,2,1,1.0,0,0,13.26,2021,no,no,Residential,51515005
Baththaramulla,1077,2,2,2,1.0,0,2,19.5,1986,no,no,Residential,60801102
Baththaramulla,1854,3,3,3,1.0,1,1,6.9,1999,no,yes,Residential,32422994
Baththaramulla,1522,3,1,2,1.0,1,1,3.3,1984,no,no,Residential,69928802
Baththaramulla,1019,2,3,2,1.0,1,1,12.19,1996,no,no,Residential,75415863
Baththaramulla,2804,3,4,4,1.0,1,1,17.64,1981,no,no,Residential,39982540
Baththaramulla,3197,3,2,1,1.0,1,1,14.15,1998,no,no,Residential,55962575
Baththaramulla,1720,3,2,1,1.0,0,1,22.59,1976,no,yes,Residential,83138100
Baththaramulla,3668,1,2,3,1.0,1,0,12.55,2006,no,no,Commercial,12972702
Baththaramulla,1550,2,1,3,1.0,0,1,9.84,1995,no,no,Residential,94923382
Baththaramulla,2936,1,1,4,1.0,1,0,23.15,1981,no,no,Residential,98444288
Baththaramulla,5973,2,5,1,1.0,0,0,11.95,1982,no,no,Residential,40613218
Baththaramulla,2843,2,3,3,1.0,1,2,8.93,2012,no,yes,Residential,57044559
Baththaramulla,3245,3,3,3,1.0,1,2,5.15,1995,no,no,Commercial,24927217
Baththaramulla,2457,2,4,1,1.0,1,2,20.45,1982,no,no,Residential,63005821
Baththaramulla,5212,1,2,2,1.0,1,1,21.15,1999,no,no,Commercial,9758918
Baththaramulla,2465,1,1,3,1.0,1,2,3.73,2002,no,no,Residential,45159382
Baththaramulla,3512,1,4,1,1.0,0,1,10.89,2002,no,yes,Residential,33828258
Baththaramulla,5837,2,4,3,1.0,1,1,19.5,2005,no,no,Residential,69056766
