location,house_square_feet,stories,bed_rooms,bathrooms,kitchen,dining_room,parking,land_size_perch,build_year,pool,furnished,property_type,price,property_age,price_per_sqft,total_rooms
Angoda,2617,1,4,2,1.0,0,0,16.07,1999,0,0,Residential,32800000,26,12533.435231180742,6
Angoda,1931,1,3,1,1.0,0,0,15.51,1996,0,1,Residential,32400000,29,16778.871051268772,4
Angoda,4944,3,4,1,1.0,1,2,5.56,2020,0,0,Commercial,30700000,5,6209.546925566343,5
Angoda,4861,2,3,4,1.0,0,2,15.54,2007,0,1,Residential,80800000,18,16622.09421929644,7
Angoda,1958,3,3,1,1.0,0,0,6.71,2011,0,0,Residential,88000000,14,44943.8202247191,4
Angoda,5715,3,5,3,1.0,0,1,17.6,1981,0,1,Commercial,68400000,44,11968.503937007874,8
Angoda,5237,1,2,2,1.0,1,0,12.45,1997,1,0,Residential,85500000,28,16326.14092037426,4
Angoda,5454,3,2,4,1.0,1,2,21.67,1980,0,0,Residential,79100000,45,14503.116978364504,6
Angoda,3777,2,3,1,1.0,1,0,20.12,1989,0,0,Residential,20400000,36,5401.111993645751,4
Angoda,2728,3,2,2,1.0,1,2,18.94,1989,0,0,Residential,44000000,36,16129.032258064517,4
Angoda,2780,3,1,1,1.0,1,0,18.42,2014,0,1,Residential,73900000,11,26582.733812949642,2
Angoda,5492,3,3,4,1.0,1,0,15.33,2008,0,1,Commercial,95400000,17,17370.721048798252,7
Angoda,737,1,2,1,1.0,1,1,4.34,1988,0,0,Residential,26700000,37,36227.95115332429,3
Angoda,4072,2,1,1,1.0,1,2,17.42,2003,0,0,Commercial,74900000,22,18393.909626719058,2
Angoda,3432,1,5,2,1.0,0,2,13.27,1990,0,0,Commercial,31600000,35,9207.459207459207,7
Angoda,4179,1,2,3,1.0,0,2,13.33,2003,0,0,Residential,83700000,22,20028.715003589376,5
Angoda,3631,1,1,1,1.0,0,1,11.34,1997,0,0,Residential,22800000,28,6279.261911319196,2
Angoda,4764,1,4,4,1.0,0,0,23.44,1984,0,0,Residential,99700000,41,20927.791771620487,8
Angoda,3193,1,4,1,1.0,1,1,8.49,2021,0,0,Residential,75700000,4,23708.11149389289,5
Angoda,4900,2,1,1,1.0,0,0,9.97,1978,0,0,Residential,65400000,47,13346.938775510203,2
Angoda,4418,3,3,3,1.0,0,1,24.19,1986,0,0,Commercial,62300000,39,14101.403349932096,6
Angoda,4738,1,3,2,1.0,0,1,20.82,2016,0,0,Residential,22500000,9,4748.839172646686,5
Angoda,4423,1,2,4,1.0,0,2,3.31,2008,0,0,Residential,76600000,17,17318.562061948902,6
Angoda,4642,2,4,2,1.0,0,1,22.93,1978,1,0,Residential,53700000,47,11568.28953037484,6
Angoda,2506,2,3,2,1.0,1,0,7.99,1994,0,0,Residential,58200000,31,23224.261771747806,5
Angoda,1360,3,3,2,1.0,1,1,18.53,2002,1,0,Residential,13000000,23,9558.823529411764,5
Angoda,4045,2,4,1,1.0,0,1,15.17,2002,0,0,Commercial,87200000,23,21557.478368355994,5
Angoda,1499,3,5,3,1.0,0,0,14.81,1980,0,0,Residential,91000000,45,60707.138092061374,8
Angoda,5055,1,3,1,1.0,0,2,18.79,1988,0,1,Residential,30400000,37,6013.847675568743,4
Angoda,3547,1,1,4,1.0,0,0,7.56,2009,1,1,Residential,15200000,16,4285.3115308711585,5
Angoda,2319,3,2,3,1.0,1,0,6.5,2021,0,0,Residential,44400000,4,19146.183699870635,5
Angoda,880,2,3,2,1.0,0,0,17.34,1975,0,0,Residential,73500000,50,83522.72727272728,5
Angoda,3866,3,3,3,1.0,1,1,9.39,1993,0,0,Residential,45700000,32,11821.00362131402,6
Angoda,2487,2,5,4,1.0,0,1,24.43,1975,0,1,Residential,34200000,50,13751.507840772014,9
Angoda,3866,1,1,1,1.0,1,0,12.93,1987,1,0,Residential,36900000,38,9544.749094671495,2
Angoda,1266,2,2,1,1.0,1,0,5.46,1982,0,1,Residential,37100000,43,29304.897314375987,3
Angoda,4788,3,3,2,1.0,1,2,18.09,1992,0,0,Residential,70400000,33,14703.425229741018,5
Angoda,1271,3,2,1,1.0,0,1,9.74,2009,0,0,Residential,18100000,16,14240.755310778914,3
Angoda,2569,1,4,1,1.0,0,1,6.27,1997,1,0,Residential,74000000,28,28804.9824834566,5
Angoda,4756,2,3,4,1.0,1,1,12.3,2000,0,0,Residential,67000000,25,14087.468460891505,7
Angoda,3722,2,3,3,1.0,0,1,24.21,2015,0,1,Residential,84800000,10,22783.449758194518,6
Angoda,5724,2,4,1,1.0,0,0,12.05,2012,0,1,Residential,42700000,13,7459.818308874913,5
Athurugiriya,5299,1,5,4,1.0,1,0,10.64,1994,0,1,Commercial,38000000,31,7171.164370635969,9
Athurugiriya,5377,2,3,4,1.0,0,2,12.78,1976,1,1,Commercial,57000000,49,10600.706713780919,7
Athurugiriya,4500,3,2,2,1.0,1,1,3.27,2000,0,1,Residential,92400000,25,20533.333333333332,4
Athurugiriya,1123,2,1,4,1.0,0,1,5.93,2010,0,0,Residential,8420000,15,7497.773820124666,5
Athurugiriya,2993,1,2,2,1.0,0,0,21.69,1999,0,0,Commercial,13200000,26,4410.290678249248,4
Athurugiriya,3717,2,5,1,1.0,1,2,24.52,2004,0,0,Commercial,83400000,21,22437.449556093623,6
Athurugiriya,3193,2,1,2,1.0,1,0,6.47,1992,0,1,Residential,69900000,33,21891.637958033196,3
Athurugiriya,2568,3,2,4,1.0,1,1,14.78,1981,0,0,Residential,90500000,44,35241.43302180686,6
Athurugiriya,5797,2,2,3,1.0,1,1,24.26,2001,0,0,Residential,16000000,24,2760.0483008452647,5
Athurugiriya,2353,3,4,3,1.0,0,2,6.44,1985,0,1,Residential,99400000,40,42243.94390140247,7
Athurugiriya,2896,3,5,1,1.0,0,0,7.1,2011,0,0,Residential,62200000,14,21477.90055248619,6
Athurugiriya,5840,1,4,1,1.0,0,1,23.39,1982,0,0,Commercial,46800000,43,8013.698630136986,5
Athurugiriya,2861,3,1,3,1.0,1,1,18.53,1985,1,0,Residential,24800000,40,8668.297797972737,4
Athurugiriya,2886,3,4,2,1.0,0,2,6.34,1998,0,0,Residential,33000000,27,11434.511434511434,6
Athurugiriya,5775,1,5,1,1.0,0,1,11.66,2004,0,0,Residential,24700000,21,4277.056277056277,6
Athurugiriya,4802,3,3,4,1.0,0,1,4.24,2004,0,0,Residential,35200000,21,7330.2790503956685,7
Athurugiriya,3478,1,3,1,1.0,1,0,12.52,1989,0,0,Residential,41100000,36,11817.136285221392,4
Athurugiriya,4743,2,1,2,1.0,1,2,20.11,2009,0,1,Residential,25600000,16,5397.427788319629,3
Athurugiriya,4244,1,3,1,1.0,0,2,15.19,2013,0,0,Residential,29400000,12,6927.426955702168,4
Athurugiriya,5032,3,4,4,1.0,0,2,17.24,1998,0,0,Residential,86300000,27,17150.238473767884,8
Athurugiriya,5745,1,1,4,1.0,1,0,10.19,1982,0,0,Residential,42500000,43,7397.737162750218,5
Athurugiriya,5976,3,5,4,1.0,1,2,6.55,2017,0,0,Residential,89900000,8,15043.50736278447,9
Athurugiriya,2655,2,1,2,1.0,1,1,3.29,2016,0,0,Residential,12500000,9,4708.097928436911,3
Athurugiriya,5320,1,1,2,1.0,1,2,21.07,1994,0,1,Residential,52500000,31,9868.421052631578,3
Athurugiriya,1876,2,2,4,1.0,0,1,17.01,2015,0,0,Residential,61900000,10,32995.73560767591,6
Athurugiriya,3366,3,2,4,1.0,1,2,8.05,2021,0,0,Residential,18400000,4,5466.428995840761,6
Athurugiriya,902,3,1,2,1.0,0,2,12.21,2000,0,0,Residential,27100000,25,30044.345898004434,3
Athurugiriya,1238,2,3,2,1.0,1,0,20.63,1998,0,0,Residential,81100000,27,65508.88529886914,5
Athurugiriya,655,1,2,2,1.0,0,2,14.85,1996,1,1,Commercial,35900000,29,54809.16030534351,4
Athurugiriya,5421,1,5,3,1.0,0,2,9.6,1979,0,1,Residential,90900000,46,16768.123962368565,8
Athurugiriya,1125,3,4,2,1.0,1,0,8.88,1989,0,0,Residential,69400000,36,61688.88888888889,6
Athurugiriya,5169,2,2,4,1.0,0,1,7.79,2010,0,0,Residential,52900000,15,10234.087831301993,6
Athurugiriya,4723,2,1,3,1.0,0,2,21.12,2011,0,1,Residential,53300000,14,11285.200084691933,4
Athurugiriya,2725,1,3,2,1.0,0,2,15.8,2003,0,0,Residential,6040000,22,2216.5137614678897,5
Athurugiriya,3887,1,4,4,1.0,1,1,18.6,1989,0,1,Residential,19000000,36,4888.088500128634,8
Athurugiriya,964,1,2,1,1.0,1,0,21.92,2001,0,1,Commercial,18200000,24,18879.66804979253,3
Athurugiriya,5221,2,3,3,1.0,1,2,24.71,2023,0,0,Residential,95500000,2,18291.515035433826,6
Athurugiriya,5578,1,3,4,1.0,0,0,8.49,1982,0,0,Residential,18100000,43,3244.890641807099,7
Athurugiriya,5726,1,3,1,1.0,0,1,6.98,2003,0,0,Residential,82700000,22,14442.89207125393,4
Athurugiriya,5722,3,1,4,1.0,0,1,13.16,1993,0,1,Residential,42900000,32,7497.378538972387,5
Athurugiriya,2246,1,5,2,1.0,0,0,3.77,2005,1,1,Residential,91800000,20,40872.6625111309,7
Athurugiriya,1518,1,3,2,1.0,1,1,20.42,1983,0,0,Commercial,81500000,42,53689.064558629776,5
Athurugiriya,3397,2,4,1,1.0,0,1,22.44,1984,0,0,Residential,34200000,41,10067.70680011775,5
Athurugiriya,2131,2,2,2,1.0,0,2,18.09,2011,0,0,Residential,41100000,14,19286.719849835757,4
Athurugiriya,3945,3,4,4,1.0,0,0,8.9,1984,0,1,Residential,93000000,41,23574.144486692014,8
Athurugiriya,2506,1,1,1,1.0,1,2,5.71,2007,0,0,Residential,74400000,18,29688.747007182763,2
Athurugiriya,3686,3,1,4,1.0,0,0,11.41,1999,0,1,Residential,79300000,26,21513.836136733586,5
Athurugiriya,5911,2,4,4,1.0,1,2,21.33,1978,0,0,Residential,91200000,47,15428.861444764,8
Athurugiriya,5180,3,5,4,1.0,1,1,10.65,1979,0,1,Commercial,77900000,46,15038.610038610039,9
Athurugiriya,2675,2,1,2,1.0,0,0,3.75,1997,0,0,Residential,90800000,28,33943.92523364486,3
Athurugiriya,1313,3,1,2,1.0,0,0,9.03,2013,0,0,Residential,30300000,12,23076.923076923078,3
Athurugiriya,1662,3,4,4,1.0,0,0,24.78,1979,0,0,Commercial,31700000,46,19073.405535499398,8
Athurugiriya,2576,1,1,3,1.0,0,0,17.89,1982,0,0,Residential,99300000,43,38548.13664596273,4
Athurugiriya,1896,3,5,4,1.0,1,1,22.82,1991,0,1,Residential,42900000,34,22626.58227848101,9
Athurugiriya,5950,1,5,4,1.0,1,1,20.05,1975,0,0,Residential,15800000,50,2655.4621848739494,9
Athurugiriya,725,1,5,1,1.0,1,1,14.87,1986,0,1,Residential,98900000,39,136413.7931034483,6
Athurugiriya,5232,1,2,4,1.0,1,2,6.27,2009,0,0,Commercial,62100000,16,11869.266055045871,6
Athurugiriya,4196,1,5,2,1.0,1,1,10.67,1988,0,0,Residential,29900000,37,7125.834127740705,7
Athurugiriya,3883,3,5,1,1.0,1,2,15.84,2022,0,0,Residential,5980000,3,1540.0463559103787,6
Athurugiriya,2203,2,2,3,1.0,1,2,22.15,1992,0,1,Commercial,17700000,33,8034.498411257377,5
Athurugiriya,666,2,3,1,1.0,1,1,8.91,1984,0,0,Residential,27100000,41,40690.69069069069,4
Athurugiriya,832,2,1,3,1.0,1,1,5.67,1989,0,0,Residential,88200000,36,106009.61538461539,4
Athurugiriya,2756,3,5,1,1.0,1,1,15.29,2016,0,0,Residential,5160000,9,1872.278664731495,6
Athurugiriya,1769,1,1,1,1.0,0,2,6.88,2007,0,1,Residential,50300000,18,28434.143583945734,2
Athurugiriya,2758,2,4,3,1.0,0,0,16.43,1993,0,0,Residential,58700000,32,21283.538796229153,7
Athurugiriya,4806,3,1,2,1.0,0,1,8.8,2008,0,1,Residential,8980000,17,1868.4977111943404,3
Athurugiriya,2093,1,2,2,1.0,1,2,8.08,2019,1,0,Commercial,23700000,6,11323.459149546106,4
Athurugiriya,5318,2,1,2,1.0,0,2,11.78,1999,1,0,Residential,99500000,26,18710.04136893569,3
Athurugiriya,4607,1,1,1,1.0,1,1,16.05,1990,0,0,Residential,14300000,35,3103.9722161927502,2
Athurugiriya,3072,2,1,4,1.0,1,2,15.0,1982,0,0,Residential,79000000,43,25716.145833333332,5
Athurugiriya,3260,2,3,1,1.0,0,1,8.38,2009,0,0,Residential,90400000,16,27730.061349693253,4
Athurugiriya,3339,2,3,4,1.0,1,2,22.6,1995,0,1,Residential,14000000,30,4192.8721174004195,7
Athurugiriya,2361,1,4,4,1.0,0,0,5.42,1993,0,0,Residential,43000000,32,18212.621770436257,8
Athurugiriya,4114,3,2,2,1.0,1,2,3.87,2020,0,0,Residential,65900000,5,16018.47350510452,4
Athurugiriya,2575,1,1,4,1.0,1,1,16.26,1985,0,0,Residential,22500000,40,8737.864077669903,5
Athurugiriya,2962,2,1,1,1.0,0,0,5.71,2018,0,0,Commercial,37900000,7,12795.408507765023,2
Athurugiriya,1476,1,1,1,1.0,0,1,14.11,1985,1,0,Residential,43500000,40,29471.544715447155,2
Athurugiriya,4412,3,1,2,1.0,0,2,23.94,1985,0,0,Residential,69400000,40,15729.8277425204,3
Athurugiriya,4048,1,3,3,1.0,0,0,18.37,1996,0,0,Residential,91000000,29,22480.237154150196,6
Athurugiriya,1912,3,4,1,1.0,0,0,16.58,1995,0,1,Residential,73500000,30,38441.42259414226,5
Athurugiriya,2060,3,5,4,1.0,0,2,15.65,2001,0,0,Commercial,13600000,24,6601.941747572816,9
Athurugiriya,3309,1,2,1,1.0,1,0,6.95,1992,0,1,Residential,34600000,33,10456.331217890602,3
Athurugiriya,2924,2,1,1,1.0,1,0,12.52,2016,0,0,Commercial,99100000,9,33891.92886456908,2
Athurugiriya,2333,3,4,1,1.0,1,0,10.54,2022,0,0,Residential,66600000,3,28546.935276468066,5
Athurugiriya,2205,1,5,3,1.0,1,1,23.97,2014,0,0,Residential,28600000,11,12970.521541950113,8
Athurugiriya,3163,3,4,4,1.0,0,1,8.33,2012,1,1,Residential,66400000,13,20992.728422383814,8
Athurugiriya,4021,2,3,2,1.0,1,0,13.37,2004,0,0,Commercial,22400000,21,5570.753543894553,5
Athurugiriya,4117,1,5,1,1.0,1,2,23.64,2019,0,0,Residential,15600000,6,3789.1668690794268,6
Athurugiriya,2997,1,4,4,1.0,0,2,20.36,2021,1,1,Residential,80700000,4,26926.926926926928,8
Athurugiriya,4335,1,3,4,1.0,1,1,24.22,2019,0,0,Residential,57300000,6,13217.993079584776,7
Athurugiriya,3470,2,4,2,1.0,0,2,16.38,2007,0,1,Residential,68000000,18,19596.541786743517,6
Athurugiriya,1760,3,4,1,1.0,0,0,10.34,1995,0,1,Residential,94800000,30,53863.63636363636,5
Athurugiriya,5454,1,5,3,1.0,0,2,21.19,1976,0,1,Commercial,47100000,49,8635.863586358635,8
Athurugiriya,842,3,3,4,1.0,1,1,9.41,1987,0,0,Residential,12500000,38,14845.60570071259,7
Athurugiriya,3190,3,1,2,1.0,0,1,6.63,1976,1,0,Residential,65000000,49,20376.17554858934,3
Athurugiriya,1663,2,2,3,1.0,1,0,18.54,2017,0,1,Residential,37900000,8,22790.138304269392,5
Athurugiriya,4924,1,5,4,1.0,1,1,17.06,2019,0,0,Residential,30800000,6,6255.077173030057,9
Athurugiriya,3195,3,3,1,1.0,1,1,22.34,2005,1,0,Residential,92400000,20,28920.18779342723,4
Athurugiriya,1519,1,4,4,1.0,0,1,24.16,1984,0,0,Commercial,16100000,41,10599.078341013825,8
Athurugiriya,5942,1,3,3,1.0,0,2,21.86,1997,0,0,Residential,18700000,28,3147.088522383036,6
Awissawella,605,2,2,3,1.0,0,1,4.32,1996,0,0,Residential,54600000,29,90247.93388429753,5
Awissawella,1067,1,2,1,1.0,1,2,17.62,2021,0,0,Residential,14800000,4,13870.66541705717,3
Awissawella,4770,1,1,1,1.0,1,1,20.26,2003,0,0,Residential,10500000,22,2201.2578616352203,2
Awissawella,603,3,1,2,1.0,0,1,24.6,2007,0,0,Residential,17200000,18,28524.046434494197,3
Awissawella,1245,2,2,1,1.0,1,2,11.24,2005,0,1,Residential,59800000,20,48032.128514056225,3
Awissawella,717,1,5,2,1.0,0,2,6.74,1988,0,0,Residential,17500000,37,24407.252440725246,7
Awissawella,3528,3,5,3,1.0,0,0,21.76,1984,0,0,Residential,66600000,41,18877.551020408162,8
Awissawella,3151,2,4,3,1.0,1,0,9.98,1992,0,1,Residential,42100000,33,13360.837829260552,7
Awissawella,5642,2,1,4,1.0,1,2,16.16,1985,0,0,Residential,91100000,40,16146.756469337115,5
Awissawella,4889,3,4,4,1.0,0,1,11.58,2013,0,0,Residential,78100000,12,15974.636940069544,8
Awissawella,1446,3,1,2,1.0,1,0,11.85,2021,1,0,Residential,19000000,4,13139.69571230982,3
Awissawella,3362,3,2,1,1.0,0,2,19.11,1977,0,0,Residential,7690000,48,2287.328970850684,3
Awissawella,1741,3,5,1,1.0,0,2,10.95,1976,0,0,Residential,74600000,49,42848.937392303276,6
Awissawella,2410,3,5,4,1.0,1,1,18.25,1982,0,0,Residential,83800000,43,34771.78423236514,9
Awissawella,1323,1,2,3,1.0,0,2,3.32,2005,0,1,Residential,14600000,20,11035.525321239607,5
Awissawella,824,1,4,2,1.0,1,0,10.14,1982,1,1,Residential,28600000,43,34708.73786407767,6
Awissawella,5227,2,4,3,1.0,0,1,10.02,2017,0,1,Commercial,94200000,8,18021.809833556534,7
Awissawella,4808,1,3,3,1.0,1,2,19.47,2022,0,1,Residential,84700000,3,17616.47254575707,6
Awissawella,5254,1,1,1,1.0,1,2,9.92,1976,0,0,Residential,10200000,49,1941.377997716026,2
Awissawella,2648,1,4,2,1.0,0,1,16.93,1996,0,0,Residential,31700000,29,11971.299093655589,6
Awissawella,5349,3,2,3,1.0,1,1,18.15,1979,0,0,Residential,74000000,46,13834.361562908955,5
Awissawella,5015,2,4,4,1.0,1,1,17.49,1981,0,0,Residential,18300000,44,3649.052841475573,8
Awissawella,2173,2,5,4,1.0,0,0,16.27,1994,0,0,Residential,70200000,31,32305.568338702255,9
Awissawella,2428,2,1,1,1.0,1,0,12.1,2002,0,0,Residential,20300000,23,8360.790774299836,2
Awissawella,2517,2,3,4,1.0,0,2,11.21,1987,0,0,Residential,26600000,38,10568.136670639651,7
Awissawella,4834,1,1,4,1.0,1,2,15.42,1976,0,1,Residential,98700000,49,20417.87339677286,5
Awissawella,2626,1,5,3,1.0,0,1,4.4,2006,1,1,Residential,11800000,19,4493.526275704494,8
Awissawella,4344,3,5,4,1.0,0,2,22.27,2000,0,0,Residential,61000000,25,14042.357274401473,9
Awissawella,1501,2,5,4,1.0,0,2,21.16,1977,0,0,Residential,90500000,48,60293.13790806129,9
Awissawella,5385,1,5,3,1.0,0,1,10.62,2015,0,0,Residential,60800000,10,11290.622098421542,8
Awissawella,2639,1,2,1,1.0,1,0,15.47,2016,0,0,Residential,55300000,9,20954.907161803712,3
Awissawella,609,3,3,1,1.0,0,0,23.51,1987,1,0,Residential,70800000,38,116256.15763546799,4
Awissawella,860,3,5,2,1.0,1,0,8.98,1995,0,1,Residential,18500000,30,21511.627906976744,7
Awissawella,2273,3,5,4,1.0,0,2,19.33,2019,0,0,Residential,82800000,6,36427.62868455785,9
Awissawella,2819,1,4,3,1.0,1,1,4.82,2011,0,1,Residential,47800000,14,16956.367506207876,7
Awissawella,2660,1,3,2,1.0,0,0,14.51,1997,0,0,Commercial,15700000,28,5902.255639097744,5
Awissawella,5887,3,1,1,1.0,1,2,22.45,1981,0,0,Residential,21900000,44,3720.061151690165,2
Awissawella,4313,2,3,1,1.0,1,1,15.14,1991,0,1,Residential,45700000,34,10595.872942267562,4
Awissawella,2219,3,3,3,1.0,0,0,16.56,2002,0,0,Residential,48800000,23,21991.88823794502,6
Awissawella,920,3,3,2,1.0,0,0,22.97,2021,0,0,Residential,68600000,4,74565.21739130435,5
Awissawella,1942,3,5,2,1.0,0,1,18.74,2004,0,0,Residential,16100000,21,8290.422245108137,7
Awissawella,2976,3,5,3,1.0,1,2,18.31,1979,0,1,Residential,63600000,46,21370.967741935485,8
Awissawella,3432,1,2,3,1.0,1,2,15.9,1998,0,0,Residential,68600000,27,19988.344988344987,5
Awissawella,3424,2,1,2,1.0,1,0,16.93,1981,0,1,Residential,87600000,44,25584.11214953271,3
Awissawella,2594,3,4,1,1.0,1,1,20.68,2008,1,0,Residential,64000000,17,24672.320740169624,5
Awissawella,3558,2,3,4,1.0,0,2,24.54,2016,0,0,Residential,76000000,9,21360.314783586284,7
Awissawella,2638,2,1,1,1.0,0,1,20.5,2007,0,1,Residential,54800000,18,20773.313115996967,2
Awissawella,4090,2,1,3,1.0,0,1,18.57,2001,0,0,Residential,94800000,24,23178.48410757946,4
Awissawella,4277,3,2,2,1.0,0,0,5.98,1988,0,1,Residential,74500000,37,17418.75146130465,4
Awissawella,1718,1,4,2,1.0,1,1,20.98,1993,0,0,Residential,41300000,32,24039.580908032596,6
Awissawella,2204,3,3,4,1.0,1,1,19.19,2022,0,1,Residential,75400000,3,34210.52631578947,7
Awissawella,4627,2,4,2,1.0,0,1,19.95,2012,0,0,Residential,44800000,13,9682.299546142209,6
Awissawella,835,2,2,4,1.0,1,2,8.08,1986,0,1,Residential,25800000,39,30898.20359281437,6
